amfi_code,Alpha,Beta
100016,-0.00035594760478347906,0.7884407334841197
100025,0.00013174071723392187,0.06071304883828607
100033,0.00045405952765277687,0.9915895273399906
101206,0.00038667765797603665,0.7370150749441956
101207,-0.0013918302552258371,2.8781840749412004
101208,0.00024218985370371194,-0.0010198340079364259
102885,0.00028524643389151,0.616292265757131
102886,-0.0004590414612102048,0.9014414037954364
102887,9.740699772934247e-05,0.8682864578367645
118632,0.0002266112685290945,1.0119847058962186
118633,0.00017550185976217476,0.698535228576799
118634,-0.0007077189129266939,2.2420162446678216
118635,0.00020553522014593172,0.6258420867428852
118636,0.00013870008435805392,0.09956905729843599
119092,-0.0004564235204880714,1.1590213318629516
119093,-0.00030998127526224564,1.0139262119982864
119094,6.693345620127416e-05,1.520896481602754
119095,-0.001212795024303364,2.2108490756850485
119120,0.00016870849450248185,0.08487388027964798
119551,0.0005615597118971505,0.5629308778564813
119552,0.00024592481474195165,0.8546331906290231
119598,-0.000349711188558985,2.457368834340668
119599,-0.0010858104102553637,2.03965414498836
120503,0.00011400371383348332,0.9247921208111867
120504,0.0004602951198117251,0.6065291576079518
120505,0.00040733037848490587,1.1948147642957916
120506,7.329100813542166e-05,0.914058887459882
120507,0.00027126985628229017,-0.005732200015387921
120841,8.331837305429474e-05,0.6951836824355575
120842,-0.0003669207267856973,1.075704655273852
120843,0.00040732096173894767,1.0687458558332725
120844,0.00026286287244045705,-0.010671268007490773
125497,0.0001337973327639109,0.9123261794104114
125498,-0.0003908711348230318,1.3750608967383793
148567,0.0007220949848949728,0.5571340440928769
148568,0.0003136605356510501,0.8104117143433328
148569,0.00038282926266095397,1.1745863251691935
149322,-7.644335640358952e-05,0.9487248528073089
149323,0.0003481086809766855,1.1204823921524785
149324,-0.0002034843080279483,2.214803834236839
